position,team,matches,wins,draws,loses,scored,conceded,pts,xG,xG_diff,npxG,xGA,xGA_diff,npxGA,npxGD,ppda_coef,oppda_coef,deep,deep_allowed,xpts,xpts_diff
1,Liverpool,38,32,3,3,85,33,99,75.19336999999999,-9.806630000000013,71.38752000000001,39.5728982,6.572898199999997,38.8117282,32.575791800000005,8.607605324816856,24.73821177122079,429,145,74.27839999999999,-24.72160000000001
2,Manchester City,38,26,3,9,102,35,81,102.20523300000004,0.2052330000000353,93.53302599999999,36.99762900000001,1.9976290000000105,34.71412300000001,58.818903000000006,9.314521145844106,25.488707363148187,547,135,86.75639999999997,5.756399999999971
3,Manchester United,38,18,12,8,66,36,66,66.186663,0.1866629999999958,55.53038399999999,38.05916400000001,2.0591640000000098,35.77565900000001,19.754725,10.469858442645348,12.809706836989786,290,178,70.99169999999998,4.99169999999998
4,Chelsea,38,20,6,12,69,54,66,76.227787,7.227787000000006,70.89959900000001,41.0882999,-12.911700099999997,39.565967900000004,31.333631100000005,9.688095674534623,16.61028638744759,326,169,73.4872,7.487200000000001
5,Leicester,38,18,8,12,67,41,62,61.017164699999995,-5.982835300000005,55.673934700000004,47.894042999999996,6.894042999999996,40.282434,15.3915007,9.118037457670225,14.196062005440186,293,203,61.1553,-0.8447000000000031
6,Tottenham,38,16,11,11,61,47,59,49.021302999999996,-11.978697000000004,45.83264,54.12711099999999,7.127110999999992,48.798972,-2.9663319999999995,12.802596442319034,11.162358645609947,224,264,49.264600000000016,-9.735399999999984
7,Wolverhampton Wanderers,38,15,14,9,51,40,59,54.223981,3.223981000000002,51.179311999999996,37.38927390000001,-2.6107260999999866,34.9610539,16.218258100000003,14.661360314835454,11.554359660360477,172,193,63.82129999999997,4.821299999999972
8,Arsenal,38,14,14,10,56,48,56,50.82221799999999,-5.177782000000008,48.53879799999999,57.25226600000001,9.252266000000013,51.00759600000001,-2.4687979999999996,12.3676535902978,12.98809383353402,265,253,50.14710000000001,-5.852899999999991
9,Burnley,38,15,9,14,43,50,54,49.346893800000004,6.346893800000004,47.06338279999999,53.839223,3.839222999999997,50.01831,-2.9549271999999984,13.252874445668544,10.472002962455784,145,263,49.5405,-4.4594999999999985
10,Sheffield United,38,14,12,12,39,39,54,45.81162100000001,6.8116210000000095,45.050451,52.042456999999985,13.042456999999985,49.75894499999998,-4.708494000000001,15.052348481236344,12.548963064165934,198,231,49.3411,-4.658900000000003
11,Southampton,38,15,7,16,51,60,52,56.496626000000006,5.496626000000006,52.535483000000006,56.592573,-3.4074269999999984,53.547914000000006,-1.0124310000000012,8.770105439845212,11.179210807205076,230,249,56.8654,4.865400000000001
12,Everton,38,13,10,15,44,56,49,53.710143,9.710143000000002,52.948976,49.211622000000006,-6.7883779999999945,46.167031,6.781945000000002,10.840476016719643,10.87835861384237,203,215,55.7761,6.7761
13,Newcastle United,38,11,11,16,38,58,44,36.491737,-1.5082629999999995,35.73056699999999,67.02935099999999,9.029350999999991,65.50701099999999,-29.776444,21.89675207429297,7.863314414606842,132,344,31.917299999999987,-12.082700000000013
14,Crystal Palace,38,11,10,17,31,50,43,34.447955500000006,3.447955500000006,32.1644455,57.392236999999994,7.392236999999994,56.631067,-24.466621500000002,15.315904463470106,8.344128736599938,225,281,38.263000000000005,-4.736999999999995
15,Brighton,38,9,14,15,39,54,41,47.42406100000001,8.424061000000009,45.901730000000015,60.41584899999999,6.415848999999987,58.89350899999999,-12.991779000000003,11.49976194050647,13.54768290233092,242,264,48.02409999999999,7.02409999999999
16,West Ham,38,10,9,19,49,62,39,49.0691132,0.06911319999999677,46.0244362,68.323322,6.3233220000000046,63.75633899999999,-17.7319028,14.387997071634642,10.82678511549048,217,308,38.747400000000006,-0.25259999999999394
17,Aston Villa,38,9,8,21,41,67,35,45.08898899999999,4.088988999999991,42.65250099999999,71.595382,4.595382000000001,66.88436700000001,-24.231865999999997,13.377096390596154,8.178343893448428,186,343,37.22690000000001,2.2269000000000077
18,Watford,38,8,10,20,36,64,34,48.56263699999999,12.562636999999988,42.47327499999999,59.528113000000005,-4.471886999999995,52.522923,-10.049648,13.531828210003479,10.267281506106947,227,259,47.87369999999999,13.873699999999992
19,Bournemouth,38,9,7,22,40,65,34,44.6710449,4.671044899999998,41.6264589,63.29434499999999,-1.7056550000000072,58.727336999999984,-17.1008781,14.2407198503319,9.699333656262935,210,326,39.197900000000004,5.197900000000004
20,Norwich,38,5,6,27,26,75,21,37.234174900000006,11.234174900000006,35.7118339,71.60755700000001,-3.392442999999986,66.126467,-30.414633099999996,14.340708968158873,10.183109569161134,207,345,33.12230000000002,12.122300000000017
